START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
12/24/2016,12/24/2016,Business,Lahore,Lahore,0.6,Errand/Supplies
12/25/2016,12/25/2016,Business,Lahore,Lahore,0.6,Errand/Supplies
12/25/2016,12/25/2016,Business,Lahore,Lahore,2.3,Meal/Entertain
12/25/2016,12/25/2016,Business,Lahore,Lahore,2.3,Meal/Entertain
12/26/2016,12/26/2016,Business,Lahore,Lahore,3.2,Meal/Entertain
12/26/2016,12/26/2016,Business,Lahore,Lahore,6.2,Customer Visit
12/26/2016,12/26/2016,Business,Lahore,Lahore,7.7,Customer Visit
12/26/2016,12/26/2016,Business,Lahore,Lahore,3.8,Customer Visit
12/26/2016,12/26/2016,Business,Lahore,Unknown Location,7.9,Meeting
12/27/2016,12/27/2016,Business,Kar?chi,Kar?chi,4.9,Temporary Site
12/27/2016,12/27/2016,Business,Kar?chi,Kar?chi,5,Meal/Entertain
12/27/2016,12/27/2016,Business,Kar?chi,Kar?chi,0.6,Meal/Entertain
12/27/2016,12/27/2016,Business,Kar?chi,Unknown Location,3.1,Customer Visit
12/27/2016,12/27/2016,Business,Unknown Location,Kar?chi,7.9,Meeting
12/27/2016,12/27/2016,Business,Kar?chi,Kar?chi,5.5,Customer Visit
12/28/2016,12/28/2016,Business,Kar?chi,Unknown Location,10.3,Meal/Entertain
12/28/2016,12/28/2016,Business,Unknown Location,Kar?chi,10.4,Errand/Supplies
12/28/2016,12/28/2016,Business,Kar?chi,Kar?chi,2,Errand/Supplies
12/28/2016,12/28/2016,Business,Kar?chi,Unknown Location,8.5,Meal/Entertain
12/28/2016,12/28/2016,Business,Unknown Location,Kar?chi,4.4,Errand/Supplies
12/28/2016,12/28/2016,Business,Kar?chi,Kar?chi,3.8,Errand/Supplies
12/28/2016,12/28/2016,Business,Kar?chi,Kar?chi,5.1,Errand/Supplies
12/29/2016,12/29/2016,Business,Kar?chi,Kar?chi,3.8,Errand/Supplies
12/29/2016,12/29/2016,Business,Kar?chi,Unknown Location,11.6,Meal/Entertain
12/29/2016,12/29/2016,Business,Unknown Location,Kar?chi,11.9,Meal/Entertain
12/29/2016,12/29/2016,Business,Kar?chi,Kar?chi,1.4,Errand/Supplies
12/29/2016,12/29/2016,Business,Kar?chi,Kar?chi,1.1,Errand/Supplies
12/29/2016,12/29/2016,Business,Kar?chi,Kar?chi,4.1,Airport/Travel
12/29/2016,12/29/2016,Business,Kar?chi,Kar?chi,6.1,Between Offices
12/29/2016,12/29/2016,Business,Kar?chi,Kar?chi,1.3,Errand/Supplies
12/29/2016,12/29/2016,Business,Kar?chi,Unknown Location,3,Meal/Entertain
12/29/2016,12/29/2016,Business,Unknown Location,Kar?chi,4.1,Customer Visit
12/29/2016,12/29/2016,Business,Kar?chi,Kar?chi,7.2,Meeting
12/29/2016,12/29/2016,Business,Kar?chi,Unknown Location,6.4,
12/29/2016,12/29/2016,Business,Unknown Location,Kar?chi,12.9,Meeting
12/30/2016,12/30/2016,Business,Kar?chi,Kar?chi,2.8,Errand/Supplies
12/30/2016,12/30/2016,Business,Kar?chi,Kar?chi,2.9,Errand/Supplies
12/30/2016,12/30/2016,Business,Kar?chi,Kar?chi,4.6,Errand/Supplies
12/30/2016,12/30/2016,Business,Kar?chi,Kar?chi,4.6,Meeting
12/30/2016,12/30/2016,Business,Kar?chi,Kar?chi,0.8,Customer Visit
12/31/2016,12/31/2016,Business,Kar?chi,Kar?chi,0.7,Meeting
12/31/2016,12/31/2016,Business,Kar?chi,Unknown Location,3.9,Temporary Site
12/31/2016,12/31/2016,Business,Unknown Location,Unknown Location,16.2,Meeting
12/31/2016,12/31/2016,Business,Katunayake,Gampaha,6.4,Temporary Site
12/31/2016,12/31/2016,Business,Gampaha,Ilukwatta,48.2,Temporary Site
